COVID-19 Vaccinations in the United States
Date generated: Fri Jun 04 2021 19:30:41 GMT-0500 (Central Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4351970,N/A,N/A,3699937,N/A,3628618,N/A,2186450,N/A,2129387,N/A,1542340,N/A,1528484,N/A,2348970,1816800,186200,0,122807,1582264,1994467,399,621438,801012,119890,0,621372,787257,119855,0,1422450,N/A,2129387,N/A,0,1408629,0,2186450,176255,0,127803,0,45826,76981,4996,0,313361,0,0,2183993,0,1542232,0,621416,800940,119876,0,3697385,0,0
Delaware,1240955,127439,161123,951447,97708,920545,119521,537663,55.2,515978,67,427746,43.9,420869,54.6,669435,505720,65800,0,41312,385130,524673,332,163918,222945,40726,157,163831,216183,40698,157,387020,55.2,515978,67,39.7,380171,49.4,537663,173291,91.7,151495,80.2,62307,81096,7996,96,325181,172139,656917,537523,64,427722,50.9,163914,222931,40720,157,951282,113274,147767
Florida,23851035,111050,138284,18982387,88382,18629988,108014,10667209,49.7,10400397,60.3,8510451,39.6,8429209,48.9,12477075,9680860,1693100,0,833581,7982994,10128289,37523,3423766,4252989,821518,12178,3422916,4173047,821077,12169,7688933,49.7,10400397,60.3,35.8,7608132,44.1,10667209,3962810,88.1,3378002,75.1,1686972,1519108,163125,8797,7623191,169505,530337,10660693,57,8509592,45.5,3423187,4252912,821315,12178,18975140,101493,127573
Federated States of Micronesia,77800,75065,96237,44326,42768,44298,54796,25797,24.9,25770,31.9,20801,20.1,20793,25.7,0,67600,10200,0,2357,41969,0,0,18423,38,2340,0,18419,38,2336,0,18461,24.9,25770,31.9,17.8,18457,22.8,25797,2180,12.4,1922,10.9,1660,5,257,0,3832,21749,441569,25788,29.1,20797,23.5,18422,38,2337,0,44316,50069,87901
Georgia,10798395,101704,133091,7783684,73310,7605379,93737,4304247,40.5,4175406,51.5,3512913,33.1,3462948,42.7,5631015,4570680,596700,0,200083,3408697,4174252,652,1504440,1811175,196913,385,1504023,1761889,196664,372,3316000,40.5,4175406,51.5,31.2,3266284,40.3,4304247,1207479,79.6,1047734,69.1,584361,438125,25065,183,2326653,153377,711847,4302761,47.9,3512711,39.1,1504399,1811101,196826,385,7782095,86582,120141
Guam,215770,130164,166877,163982,98923,156741,121224,91416,55.1,86440,66.9,74927,45.2,72664,56.2,122070,74200,19500,0,3240,64585,96157,0,28568,43117,3242,0,28562,40860,3242,0,71685,55.1,86440,66.9,43.2,69422,53.7,91416,14543,51.6,12967,46,5554,7198,215,0,27464,97456,765658,91408,64.6,74926,52.9,28567,43117,3242,0,163973,115831,152421
Hawaii,1872060,132220,167747,1595765,112705,1537006,137724,949502,67.1,900672,80.7,677916,47.9,667177,59.8,1053780,736880,81400,0,32243,568994,900768,93760,243704,383557,32582,18073,243233,373418,32470,18056,645334,67.1,900672,80.7,45.6,634707,56.9,949502,264502,98.5,220240,82,92348,118893,7590,1409,477381,177830,697364,946597,78.2,677755,56,243661,383478,32554,18062,1593409,131566,154574
Iowa,3342045,105926,137633,2867134,90874,2788834,114851,1563039,49.5,1504364,62,1395601,44.2,1376669,56.7,1756365,1399680,186000,0,115509,1252387,1499111,127,600026,682243,113257,75,599919,663472,113203,75,1282344,49.5,1504364,62,40.6,1263466,52,1563039,484325,87.6,463498,83.8,247732,205424,10291,51,943162,170568,604398,1562997,58.4,1395590,52.1,600020,682240,113255,75,2867115,107131,124876
Idaho,1617705,90523,120827,1246785,69767,1246621,93110,676336,37.8,675755,50.5,591294,33.1,591185,44.2,834405,683200,100100,0,42289,546957,656788,751,249505,299403,42159,227,249494,299320,42145,226,549135,37.8,675755,50.5,30.7,549040,41,676336,230502,79.3,215016,74,100560,105957,8404,95,443515,152584,556544,676317,45.2,591283,39.5,249503,299401,42152,227,1246764,83373,108178
Indian Health Svc,1742515,83662,N/A,1378501,66185,1324672,N/A,774496,37.2,737174,N/A,619419,29.7,602970,N/A,752115,915700,74700,0,23389,757364,597748,0,333574,262624,23221,0,333369,246416,23185,0,596198,37.2,737174,N/A,28.6,579785,0,774496,148358,0,122939,0,70918,49573,2448,0,271879,0,0,774210,0,619301,0,333509,262584,23208,0,1378078,0,0
Illinois,14249235,112448,144604,11786638,93015,11354298,115226,7031473,55.5,6693114,67.9,5132008,40.5,5030442,51.1,7731555,5669780,847900,0,399000,4816150,6563370,8118,2022288,2707795,399184,2741,2017542,2612796,397380,2724,4732824,55.5,6693114,67.9,37.3,4633062,47,7031473,1802491,88.2,1453791,71.2,673219,719666,59357,1549,3210619,157134,697387,7017277,64.7,5131776,47.4,2022248,2707626,399161,2741,11772152,108621,131477
Indiana,6474920,96178,125380,5159399,76637,5028684,97375,2835974,42.1,2741279,53.1,2416170,35.9,2384395,46.2,3471000,2578620,425300,0,175473,2091325,2879588,13013,958483,1280585,172840,4262,958336,1249077,172725,4257,2243330,42.1,2741279,53.1,33.3,2211670,42.8,2835974,881014,81.1,834638,76.9,416215,394627,21364,2432,1726239,158991,596358,2835799,49.7,2416137,42.4,958474,1280575,172826,4262,5159227,90433,113495
Kansas,2990675,102655,135137,2343100,80427,2289167,103439,1372739,47.1,1329237,60.1,1128526,38.7,1113068,50.3,1504815,1313560,172300,0,74623,1052961,1214863,653,488580,565251,74467,228,488447,549986,74409,226,1054059,47.1,1329237,60.1,36.2,1038659,46.9,1372739,430700,90.6,366995,77.2,179031,174440,13399,125,767303,161372,628971,1372636,56,1128507,46,488573,565245,74461,228,2342992,95566,121984
Kentucky,4347275,97305,125470,3680332,82377,3595082,103760,2091049,46.8,2025603,58.5,1734544,38.8,1714794,49.5,2191995,1889380,265900,0,146806,1638415,1894665,446,740151,850255,143704,434,740044,830686,143632,432,1590840,46.8,2025603,58.5,35.6,1571162,45.3,2091049,631820,84.2,563144,75,257519,274081,31281,263,1150215,153247,579201,2090750,54.9,1734510,45.6,740144,850245,143687,434,3679321,96667,114217
Louisiana,3934500,84635,110484,3112365,66950,3068703,86171,1676024,36.1,1644475,46.2,1467057,31.6,1455286,40.9,1980420,1716080,238000,0,108644,1453023,1549622,1076,660225,702750,103549,533,660024,691267,103465,530,1363508,36.1,1644475,46.2,29.3,1351821,38,1676024,570483,77,537299,72.5,258158,261532,17497,112,1114479,150398,530956,1675912,42.7,1467027,37.4,660218,702743,103533,533,3112237,79327,100285
Massachusetts,9406620,136476,169804,8146584,118195,7833187,141401,4617367,67,4383000,79.1,3763179,54.6,3682922,66.5,5172960,3789760,443900,0,266372,3341419,4538628,165,1494464,2001547,267121,47,1490655,1926036,266187,44,3496058,67,4383000,79.1,50.7,3416735,61.7,4617367,1109952,94.9,982291,84,448071,472750,61452,18,2030853,173676,804444,4607754,76.6,3763122,62.5,1494457,2001502,267116,47,8136915,135238,156341
Maryland,8121020,134328,172384,6212322,102756,5979372,126924,3502014,57.9,3326254,70.6,2946382,48.7,2890512,61.4,4485780,3196240,439000,0,240806,2514372,3452122,5022,1158889,1552284,233753,1456,1158661,1496763,233641,1447,2712629,57.9,3326254,70.6,44.9,2656871,56.4,3502014,852232,88.8,786756,82,383627,356628,45989,512,1583565,165059,846472,3501723,67.8,2946312,57.1,1158862,1552265,233729,1456,6212066,120322,157296
Maine,1801200,133997,164438,1503653,111861,1455123,132843,858700,63.9,821857,75,746173,55.5,734689,67.1,929760,768540,102900,0,97279,653409,752674,291,306129,343867,96099,78,306088,332470,96058,73,650074,63.9,821857,75,48.4,638631,58.3,858700,267239,93.7,252171,88.4,115555,116075,20517,24,497530,174410,631413,858614,72.5,746150,63,306126,343864,96082,78,1503562,126890,152008
Marshall Islands,51300,87823,112594,30257,51798,30187,66255,16497,28.2,16447,36.1,13971,23.9,13949,30.6,0,40500,10800,0,241,30016,0,0,13718,9,244,0,13697,8,244,0,13727,28.2,16447,36.1,23.5,13705,30.1,16497,993,10,832,8.4,820,0,12,0,1812,18248,516616,16481,33,13964,28,13711,9,244,0,30234,60609,102839
Michigan,11306810,113217,144166,8773775,87853,8515341,108574,4906974,49.1,4714894,60.1,4254006,42.6,4186190,53.4,5927610,4737300,641900,0,298058,3681016,4793377,1324,1728936,2221223,303230,617,1728526,2153978,303072,614,3950776,49.1,4714894,60.1,39.6,3883118,49.5,4906974,1469806,83.3,1377531,78,692161,628251,56705,414,2765268,156637,640467,4906727,57.1,4253956,49.5,1728917,2221205,303218,616,8773504,102077,131551
Minnesota,6350720,112609,146449,5461633,96844,5257163,121231,3087007,54.7,2936886,67.7,2627328,46.6,2573206,59.3,3466320,2541100,343300,0,240123,2208162,3013007,341,1020714,1364587,241919,108,1019276,1312215,241609,106,2385409,54.7,2936886,67.7,42.3,2331597,53.8,3087007,831425,90.3,773087,84,326844,403456,42757,30,1549031,168303,690009,3079768,64.5,2627256,55,1020703,1364544,241901,108,5454262,114152,132913
Missouri,5945905,96879,124735,4713270,76796,4602540,96553,2608500,42.5,2527637,53,2130007,34.7,2105181,44.2,3187665,2447140,311100,0,149888,1836741,2726252,389,818970,1160524,150448,65,818770,1136030,150319,62,1979559,42.5,2527637,53,32.3,1954862,41,2608500,836935,78.8,741982,69.9,340346,372311,29297,28,1588923,149611,559859,2608226,49.8,2129979,40.7,818961,1160517,150436,65,4712979,90016,113564
Northern Mariana Islands,72330,127158,163023,49258,86597,47275,106552,26528,46.6,25100,56.6,23034,40.5,22479,50.7,49530,20200,2600,0,292,7019,41947,0,3131,19606,297,0,3131,19051,297,0,22737,46.6,25100,56.6,40,22182,50,26528,2622,27.1,2504,25.9,404,2044,56,0,5071,52441,747983,26528,54.6,23034,47.4,3131,19606,297,0,49258,101404,148901
Mississippi,2603175,87468,114296,1790337,60156,1770220,77724,1021690,34.3,1006339,44.2,817913,27.5,812860,35.7,1284855,1154620,163700,0,52102,844924,892420,891,378360,388371,51151,31,378243,383475,51111,31,766762,34.3,1006339,44.2,25.8,761749,33.4,1021690,365345,75.1,318492,65.4,169182,135831,13468,11,665481,136735,534870,1021620,40.5,817896,32.4,378356,388365,51144,31,1790264,71002,103242
Montana,1091075,102086,129861,869261,81332,849441,101101,484833,45.4,470058,55.9,410207,38.4,405238,48.2,537615,484060,69400,0,31427,400942,436621,271,183937,195467,30721,82,183864,190588,30704,82,379486,45.4,470058,55.9,35.5,374534,44.6,484833,166751,80.8,152256,73.8,73820,71548,6844,44,311754,151017,528527,484763,52.8,410190,44.7,183924,195466,30718,82,869169,94722,118906
North Carolina,11401560,108710,139258,8208717,78267,7989776,97587,4578603,43.7,4418817,54,3821696,36.4,3762647,46,6066060,4689900,645600,0,278598,3357066,4572724,329,1497556,2048459,275641,40,1495340,1992647,274620,40,3546055,43.7,4418817,54,33.8,3488027,42.6,4578603,1384506,79.1,1251002,71.4,588174,632460,30340,28,2653077,151510,651111,4572996,50.9,3821048,42.5,1497470,2047914,275624,40,8202471,91285,126888
North Dakota,689750,90511,118536,617621,81046,604256,103844,323364,42.4,314716,54.1,280490,36.8,276878,47.6,349050,304200,36500,0,26059,268268,323294,0,118580,138736,23173,1,118423,135374,23080,1,257317,42.4,314716,54.1,33.8,253798,43.6,323364,99015,82.6,87952,73.4,43580,41129,3243,0,191976,160187,575535,323005,50.7,280478,44,118576,138730,23171,1,617215,96857,108239
Nebraska,2020150,104432,138525,1715953,88707,1666497,114274,943768,48.8,907244,62.2,826922,42.7,813799,55.8,1106430,805720,108000,0,62287,697354,953191,3121,324569,438881,62558,914,324474,425903,62518,904,764364,48.8,907244,62.2,39.5,751281,51.5,943768,270204,86.5,253033,81,123002,124552,4856,623,527201,168727,646535,943578,58.3,826877,51.1,324551,438867,62545,914,1715716,106078,124900
New Hampshire,1751025,128779,158542,1413342,103944,1362859,123396,819606,60.3,783160,70.9,679875,50,667919,60.5,924885,709640,116500,0,53242,609539,750540,21,288636,336692,54523,24,288430,324974,54491,24,625352,60.3,783160,70.9,46,613428,55.5,819606,233060,91.8,205500,80.9,89498,103406,12582,14,411319,162023,689749,819206,68.3,679724,56.7,288545,336640,54515,24,1412790,117873,146093
New Jersey,11057295,124488,159244,9237904,104005,8932315,128641,5422416,61,5189324,74.7,4413738,49.7,4338614,62.5,5882175,4569220,605900,0,359264,3911707,4966458,475,1781714,2269822,362162,40,1781416,2195157,362007,34,4051576,61,5189324,74.7,45.6,3976607,57.3,5422416,1334837,90.5,1186903,80.4,561552,547504,77830,17,2396704,162429,749375,5421839,71.2,4413662,57.9,1781695,2269808,362119,40,9237335,121251,145140
New Mexico,2298465,109616,141794,2167318,103362,2091505,129026,1220154,58.2,1161644,71.7,1013369,48.3,992290,61.2,1160445,999620,138400,0,64309,966277,1133699,3033,429391,519904,63184,890,429118,499197,63088,887,950185,58.2,1161644,71.7,45.3,929202,57.3,1220154,341468,90.4,304486,80.6,140189,148396,15385,516,627111,166075,608694,1220015,68.3,1013336,56.7,429376,519893,63177,890,2167168,121245,128590
Nevada,2925540,94980,122535,2535207,82308,2477942,103787,1418973,46.1,1377022,57.7,1151116,37.4,1137696,47.7,1551420,1191320,182800,0,107619,1042871,1384717,0,465583,579640,105883,10,465517,566318,105851,10,1045233,46.1,1377022,57.7,33.9,1031845,43.2,1418973,397369,80.1,350550,70.7,168554,162885,19106,5,748070,150829,589860,1418930,54.1,1151109,43.9,465580,579638,105881,10,2535173,96696,111585
New York State,22944965,117947,148749,19876849,102176,19340102,125379,10947837,56.3,10544378,68.4,9243929,47.5,9108612,59,12217725,9477440,1249800,0,839256,8211863,10821410,4320,3700867,4748732,793457,873,3700036,4614699,793025,852,8450472,56.3,10544378,68.4,43.4,8315587,53.9,10947837,2757626,83.7,2490658,75.6,1203344,1140423,146432,459,5190528,157473,696115,10946757,65.3,9243587,55.1,3700745,4748621,793362,859,19875518,118496,136795
Ohio,12056265,103141,132325,9984951,85421,9715370,106632,5402138,46.2,5207010,57.2,4746369,40.6,4675037,51.3,6341205,5060560,654500,0,393655,4191767,5388696,10833,1918636,2444466,379992,3275,1918384,2373541,379856,3256,4366377,46.2,5207010,57.2,37.4,4295181,47.1,5402138,1685693,82.4,1586707,77.5,726938,785345,72619,1805,3264250,159518,589168,5401947,54,4746335,47.5,1918627,2444455,379978,3275,9984765,99841,120554
Oklahoma,3940285,99578,131136,2975700,75201,2919302,97157,1653717,41.8,1613978,53.7,1344106,34,1328262,44.2,1994265,1724220,221800,0,86114,1389259,1500277,50,611012,648186,84882,26,610844,632557,84835,26,1259224,41.8,1613978,53.7,31.8,1243427,41.4,1653717,519643,81.8,446396,70.3,236200,195234,14953,9,961339,151361,620388,1653581,49.7,1344075,40.4,610998,648177,84874,26,2975541,89484,118497
Oregon,5444945,129096,162479,4123145,97757,3978268,118713,2334552,55.4,2224067,66.4,1948094,46.2,1912738,57.1,2882685,2252560,309700,0,149485,1679416,2291977,2267,768483,1030790,148385,436,766584,997889,147836,429,1799709,55.4,2224067,66.4,42.7,1764902,52.7,2334552,648131,84.6,602016,78.6,274757,286214,40826,219,1203447,157092,710754,2329582,63.9,1948053,53.4,768481,1030752,148384,436,4118084,112893,149268
Pennsylvania,15179925,118575,149300,12805618,100028,12459643,122545,7571498,59.1,7303227,71.8,5711891,44.6,5635224,55.4,7687485,6433640,1058800,0,484188,5425034,6896044,352,2306240,2916976,488408,267,2305168,2841640,488159,257,5223483,59.1,7303227,71.8,40.8,5147065,50.6,7571498,2365499,98.8,1880239,78.6,889942,922788,67368,141,4199580,175468,634251,7569733,68.3,5711500,51.5,2306126,2916736,488371,267,12803497,115539,136984
Puerto Rico,3881650,121541,148100,2761122,86455,2672999,101985,1651104,51.7,1580770,60.3,1215937,38.1,1196123,45.6,1974570,1716680,190400,0,83043,1151299,1526486,294,476329,656371,83215,22,476168,636820,83113,22,1132722,51.7,1580770,60.3,35.5,1113010,42.5,1651104,443781,81.7,367126,67.6,171544,181771,13808,3,793674,146184,714947,1650506,60.5,1215839,44.6,476308,656327,83182,22,2760458,101214,142323
Rhode Island,1473615,139104,172380,1174718,110889,1134064,132660,651240,61.5,621426,72.7,554711,52.4,544542,63.7,811395,600620,61600,0,44201,476976,653501,40,219744,290845,44112,10,219706,280731,44095,10,510599,61.5,621426,72.7,48.2,500447,58.5,651240,176018,94.1,164762,88.1,75669,83558,5531,4,336934,180134,787836,651171,70.2,554703,59.8,219740,290842,44111,10,1174652,126648,158882
Republic of Palau,24600,137376,176129,24369,136086,24369,174476,13801,77.1,13800,98.8,12481,69.7,12481,89.4,0,20800,3800,0,1729,22639,1,0,10734,20,1727,0,10734,20,1727,0,10754,77.1,13800,98.8,60.1,10754,77,13801,1665,54.7,1607,52.8,1418,8,181,0,3049,100164,808147,13801,90.2,12481,81.6,10734,20,1727,0,24369,159358,160868
South Carolina,5123795,99516,126904,3825550,74301,3750912,92901,2122947,41.2,2068524,51.2,1773436,34.4,1752595,43.4,2614755,2196340,312700,0,129734,1567396,2127359,1061,686061,960338,126826,211,684893,941022,126469,211,1646610,41.2,2068524,51.2,32,1626126,40.3,2122947,774908,82.7,685482,73.2,289999,372941,22396,146,1443284,154029,546816,2120050,48,1772903,40.1,685988,959908,126796,211,3822126,86474,115924
South Dakota,937755,106002,140475,780255,88198,762065,114157,428904,48.5,415451,62.2,377759,42.7,372965,55.9,455715,423540,58500,0,23081,351214,405947,13,167345,187092,23309,13,167304,182349,23299,13,354450,48.5,415451,62.2,40.1,349666,52.4,428904,137434,90.5,128210,84.4,66354,58494,3355,7,258636,170300,617468,428880,58.1,377755,51.2,167344,187090,23308,13,780233,105708,127050
Tennessee,6123680,89669,115126,4888109,71577,4798752,90217,2694377,39.5,2628254,49.4,2189556,32.1,2167562,40.8,3210480,2546100,367100,0,141760,2051297,2685831,9221,894950,1153953,137926,2727,894700,1132357,137786,2719,2051630,39.5,2628254,49.4,30,2029776,38.2,2694377,880408,77,774921,67.8,392265,356266,24693,1697,1686125,147467,535571,2693924,46.2,2189470,37.5,894935,1153916,137892,2727,4887578,83755,104937
Texas,30626095,105622,141813,23293586,80334,22547472,104405,12984438,44.8,12454673,57.7,10457956,36.1,10115634,46.8,16312335,12423860,1889900,0,885478,9860071,12547193,844,4309224,5282361,865701,670,4168169,5109452,837364,648,9595446,44.8,12454673,57.7,33.1,9430405,43.7,12984438,3037061,81.3,2641680,70.7,1088510,1334324,218676,169,5731451,153484,820145,12980543,53.9,10455865,43.4,4308362,5281305,865528,670,23288999,96630,127073
